question_num	category	instance_id	answer
1	f	0	Before dividing his kingdom, Lear asks his daughters to express their love for him in a public declaration and to give him reasons for their affection. He specifically states, "I will have my daughters speak the truth; / And I, this quarrel will rewrite before't" (Act 1, Scene 1). He demands "that for one of you / Five hundred pounds a year" (Act 1, Scene 1), with the implication that he will divide the kingdom among those who provide the most effusive professions of love. Regan suggests "Sir, I love you most" and proceeds to insincerely praise Lear (Act 1, Scene 1). Meanwhile, Goneril's "I love you dear father" rings hollow, like a mockery, until she offers a "true" but empty declaration of love, which Lear accepts at face value (Act 1, Scene 1).
1	f	1	In the play King Lear, after considering the wishes of his daughters, Edgar suggests (from Albany's point of view), Lear decides to divide his kingdom between Goneril, Regan, and Cordelia. "I thought our care was to the whet and temper our strong nerves in the mirth and vantage of indulgence of each other love" (I, iv, 293). However, Lear ultimately decides that division would mean he would see less of each of them.
1	f	2	In William Shakespeare's King Lear, the aging king requests that his three daughters, Goneril, Regan, and Cordelia, to express their love for him in words before dividing the kingdom between them. He asks his daughters to "Say what, what? / How shall we none of you pardon, pardon me, and you say / you'll say I will be satisfied!" (Act 1, Scene 59), suggesting that they are to reveal the full extent of their love. Goneril and Regan, Lear's elder daughters, attempt to flatter their father with exaggerated shows of affection. Cordelia, however, responds more truthfully: "I love you most dearly, / Of all my word" (Act 1, Scene 1). This request and the daughters' responses serve as a catalyst for the events that unfold, as it sets the stage for Lear's misunderstanding and misinterpretation of their words.
1	f	3	In the play, King Lear asks his daughters, Goneril, Regan, and Cordelia, to declare their love for him in a speech, and he promises to divide his kingdom among them (Act 1, Scene 1). He sets this test for them by saying, "Cordelia, with my shadow I pray you now stay here, and strike not at the life of my king" (1.1.124). He intends that they should measure their love for him by saying how much they care for him. When they speak, Regan and Goneril respond with excessive, fawning declarations of affection, while Cordelia offers a more modest and truthful answer, which earns her only a share of land, not the whole kingdom (1.1.254-256, "Let it be so"). Lear is impressed by the seeming sincerity of her words, and he divides his kingdom between Goneril and Regan, but they quickly show their true nature when they turn out to value power more than their father's love.
1	f	4	At the beginning of the play, King Lear asks his daughters to express their love for him in words, so that he may divide his kingdom among them. Cordelia's words, "I love your majesty" (Act 1, Scene 1), do not meet Lear's request, as they lack the elaborate praises demanded of him by the other two daughters, Goneril and Regan. Their responses to Lear, "I love you more than life, / For she must die when she is a widow" (Goneril, Act 1, Scene 1) and "Sir, I love you most majestically" (Regan, Act 1, Scene 1), are designed to entrap their father's favor and eventually gain the largest share of the kingdom for themselves. Lear ultimately chooses Goneril and Regan based on these speeches, leaving only a single portion of the kingdom to Cordelia.
1	f	5	Before dividing the kingdom, Lear asks his daughters to express their love and loyalty to him in a heartfelt manner, specifically through a speech of filial devotion. In Act 1, Scene 1, Lear famously states his intention: "I will divide my kingdom between my daughters..." (I.1.64), and later, he demands that each daughter "Love and be with me, give me a kiss, / Even at the lips fats, my barren sceptre / Bows of your high and most beautiful principles" (I.1.83-85). Goneril and Regan both respond with eloquent speeches showcasing their supposed affection for their father, declaring "I love you most" (I.1.52) and "I love you most" (I.1.55). However, it is Goneril's request for permission to "speak a word" that ultimately sets the stage for the daughter's demonstration of love: "Your daughter's love is most replete with these golden words of love" (I.1.100). This exercise in self-proclaimed affection serves as a facade, foreshadowing the betrayal that unfolds as Lear's decision to divide the kingdom based on his daughters' words of affection ultimately proves to be a grave mistake.
1	f	6	Before dividing the kingdom, King Lear asks his daughters, Goneril, Regan, and Cordelia, to declare the depth of their love for him. Lear requests that they speak their words so that he might know their true intentions, stating "Tell me, my friends, since these nine moons have wasted / Since my golden hairs were merry noon...", (Act 1, Scene 1, lines 83-84). He asks them, "Who of you shall say 'I am your no son, / I will set this house on fire, and take the ward / With all my heart; to whom I'll give renown'd place / She is your daughter, if you name her well;", (Act 1, Scene 1, lines 49-52). Lear's request is not just a casual inquiry but a serious test of their affection and loyalty, aimed at evaluating their willingness to submit to his rule.
1	f	7	In Act 1, Scene 1, Lear sets a condition for his daughters to prove their love for him: he asks them to declare their love for him and specify how much they would give up for him if it meant acquiring a share of his kingdom. Goneril's response is, "None but I" (1.1.105), implying that she would give up nothing, while Regan mentions "nothing more than my dart" (1.1.104). However, Cordelia's response stands out as she "cannot (and does not) declare more than what her sister Cornwall, king of France, demands, "to ninety and nine hundred of my ducats" (1.1.84-85), which prompts Lear's suspicion of her authenticity.
1	f	8	Before dividing the kingdom, King Lear requires his three daughters, Goneril, Regan, and Cordelia, to declare the extent of their love for him and provide substantiation of their statements. Lear, in Act 1, Scene 1, instructs his daughters to say "Speak now or forever hold your peace" (Lear, 1.1.85). This shows his desire for an open declaration of their love. When his youngest daughter, Cordelia, hesitantly does speak, she replies, "Sir, I love you most dear, my no less in value and respect than all my due" (Lear, 1.1.94-95). This response fails to meet Lear's expectations as he is seeking exaggerated expressions of devotion. In contrast, his older daughters, Goneril and Regan, are more than happy to oblige, using superlatives to describe their love, saying "I love you most majestically" (Lear, 1.1.105) and "Sir, I love you most excellently well" (Lear, 1.1.105). These statements demonstrate Lear's flawed demand for a comparative declaration of love and set the stage for the tragic consequences of his decision to divide the kingdom.
1	f	9	Before dividing his kingdom, Lear demands that his daughters declare how much they love him and to speak their true words, as evident in Act 1, Scene 1: "'Tis my daughters' first advice, stay near, / And till I send them to the grave, I have a son / Shall right my settlement..." (1.1.75-77). This is a precursor to the actual challenge, but Lear's intent is clear. When Lear asks his daughters to make their declarations, he says: "Know that which, with one accord we do oppressed; / And lastly, how far these ha[n]t thy life, what cause / And most continually to spew thee, which to my bosom saith / Thy pettish pride thy daughter." And finally, Lear tests their sincerity by commanding them to demonstrate their love: "Take my breath, / And be, I hope, a noble burial. Come, be she to Edinburgh, come free; / And, if thy love appear faithful thou takest the border... / Speak." Lear also demands a show of affection from his daughters, declaring: "Bring the finest daughter hither; / We once did make a solemn auknowledgement of all my blood / That stand I should be shunned; and of the rest / To England from my daughters, I do banish thee" (1.1.83-86). Lear is searching for evidence of love, which prompts his daughters, Goneril and Regan, to feign affection while their sister Cordelia speaks truthfully."
