1	f	Lear: What dost thou profess? What wouldst thou with us?	Lear: How now? Where's that mongrel? Knight: He says, my lord, your daughter is not well.	Lear: Go you and tell my daughter I would speak with her.	Lear: How now, my pretty knave? How dost thou?	Lear: I would learn that; for, by the marks of sovereignty, Knowledge, and reason, I should be false persuaded I had daughters.	Lear: Give me my servant forth. Go tell the Duke and 's wife I'ld speak with them-	Lear: Hast thou given all to thy two daughters, and art thou come to this?	Lear: What, have his daughters brought him to this pass?	Lear: Death, traitor! nothing could have subdu'd nature To such a lowness but his unkind daughters.	Lear: Come, come, I am a king; My masters, know you that?
1	a	Lear: What in the least Will you require in present dower with her, Or cease your quest of love?	Lear: I thank thee, fellow. Thou serv'st me, and I'll love thee.	Lear: Either his notion weakens, his discernings Are lethargied-	Lear: No, but not yet! May be he is not well.	Lear: Her eyes are fierce; but thine Do comfort, and not burn. '	Lear: This is a slave, whose easy-borrowed pride Dwells in the fickle grace of her he follows.	Lear: Is man no more than this? Consider him well.	Lear: I'll not love. Read thou this challenge; mark but the penning of it.	Lear: He's a good fellow, I can tell you that.	Lear: Ay, so I think. Albany: He knows not what he says; and vain is it That we present us to him.
1	cf	Lear: Only we still retain The name, and all th' additions to a king.	Lear: What in the least Will you require in present dower with her, Or cease your quest of love?	Lear: No more of that; I have noted it well.	Lear: Within a fortnight? Albany: What's the matter, sir?	Lear: No, no, they would not! Kent: Yes, they have.	Lear: Who stock'd my servant? Regan, I have good hope	Lear: Return to her, and fifty men dismiss'd?	Lear: What, have his daughters brought him to this pass?	Lear: Death, traitor! nothing could have subdu'd nature To such a lowness but his unkind daughters.	Lear: A plague upon you, murderers, traitors all!
2	f	Cordelia: [aside] What shall Cordelia speak? Love, and be silent.	Regan: In your dear Highness' love. Cordelia: [aside] Then poor Cordelia!	Lear: Speak again. Cordelia: Unhappy that I am, I cannot heave My heart into my mouth.	Lear: How, how, Cordelia? Mend your speech a little, Lest it may mar your fortunes.	Cordelia: Why have my sisters husbands, if they say They love you all?	Lear: But goes thy heart with this? Cordelia: Ay, good my lord. Lear: So young, and so untender? Cordelia: So young, my lord, and true. Lear: Let it be so!	Lear: What in the least Will you require in present dower with her, Or cease your quest of love?	Cordelia: And so I am! I am! Lear: Be your tears wet? Yes, faith.	Cordelia: Will't please your Highness walk? Lear: You must bear with me.	Lear: Cordelia, Cordelia! stay a little.
2	a	Cordelia: [aside] What shall Cordelia speak? Love, and be silent.	Cordelia: [aside] Then poor Cordelia! And yet not so; since I am sure my love's More richer than my tongue.	Cordelia: Unhappy that I am, I cannot heave My heart into my mouth. I love your Majesty According to my bond; no more nor less.	Cordelia: Good my lord, You have begot me, bred me, lov'd me; I Return those duties back as are right fit, Obey you, love you, and most honour you. Why have my sisters husbands, if they say They love you all?	Cordelia: that you make known It is no vicious blot, murther, or foulness, No unchaste action or dishonoured step, That hath depriv'd me of your grace and favour; But even for want of that for which I am richer- A still-soliciting eye, and such a tongue As I am glad I have not, though not to have it Hath lost me in your liking.	Cordelia: I know you what you are; And, like a sister, am most loath to call Your faults as they are nam'd.	Cordelia: To your professed bosoms I commit him; But yet, alas, stood I within his grace, I would prefer him to a better place!	Cordelia: Time shall unfold what plighted cunning hides. Who cover faults, at last shame them derides.	Cordelia: All blest secrets, All you unpublish'd virtues of the earth, Spring with my tears!	Cordelia: No blown ambition doth our arms incite, But love, dear love, and our ag'd father's right.
2	cf	Cordelia: [aside] What shall Cordelia speak? Love, and be silent.	Cordelia: [aside] Then poor Cordelia! And yet not so; since I am sure my love's More richer than my tongue.	Cordelia: Nothing. Lear: Nothing can come of nothing. Speak again. Cordelia: Unhappy that I am, I cannot heave My heart into my mouth.	Lear: How, how, Cordelia? Mend your speech a little, Lest it may mar your fortunes.	Cordelia: Why have my sisters husbands, if they say They love you all?	Cordelia: Ay, good my lord. Lear: So young, and so untender?	Lear: What in the least Will you require in present dower with her, Or cease your quest of love?	Cordelia: What can man's wisdom In the restoring his bereaved sense?	Cordelia: I am! Lear: Be your tears wet? Yes, faith.	Lear: Cordelia, Cordelia! stay a little.
3	f	Gloucester: Confin'd to exhibition? All this done Upon the gad? Edmund, how now?	Gloucester: What needed then that terrible dispatch of it into your pocket? The quality of nothing hath not such need to hide itself.	Gloucester: When came this to you? Who brought it?	Gloucester: I would unstate myself to be in a due resolution.	Gloucester: The Duke 's to blame in this; 'twill be ill taken.	Gloucester: They kill us for their sport. Edgar: [aside] How should this be?	Gloucester: 'Tis the time's plague when madmen lead the blind.	Albany: But O poor Gloucester! Lose he his other eye?	Gloucester: Alack, I have no eyes! Is wretchedness depriv'd that benefit To end itself by death?	Lear: Read. Gloucester: What, with the case of eyes?
3	a	Gloucester: His very opinion in the letter! Abhorred villain!	Edmund: Most savage and unnatural! Gloucester: Go to; say you nothing.	Gloucester: Because I would not see thy cruel nails Pluck out his poor old eyes; nor thy fierce sister In his anointed flesh stick boarish fangs.	Gloucester: All dark and comfortless! Where's my son Edmund?	Gloucester: 'Tis the time's plague when madmen lead the blind.	Albany: But O poor Gloucester! Lose he his other eye?	Gloucester: No, truly. Edgar: Why, then, your other senses grow imperfect By your eyes' anguish.	Gloucester: 'Twas yet some comfort When misery could beguile the tyrant's rage And frustrate his proud will.	Lear: Read. Gloucester: What, with the case of eyes?	Gloucester: How stiff is my vile sense, That I stand up, and have ingenious feeling Of my huge sorrows!
3	cf	Gloucester: His very opinion in the letter! Abhorred villain!	Gloucester: By his authority I will proclaim it That he which find, him shall deserve our thanks, Bringing the murderous caitiff to the stake; He that conceals him, death.	Gloucester: He did bewray his practice, and receiv'd This hurt you see, striving to apprehend him.	Gloucester: Canst thou blame him? His daughters seek his death.	Gloucester: Because I would not see thy cruel nails Pluck out his poor old eyes; nor thy fierce sister In his anointed flesh stick boarish fangs.	Gloucester: 'Tis the time's plague when madmen lead the blind.	Albany: But O poor Gloucester! Lose he his other eye?	Regan: It was great ignorance, Gloucester's eyes being out, To let him live.	Gloucester: Alack, I have no eyes! Is wretchedness depriv'd that benefit To end itself by death? 'Twas yet some comfort When misery could beguile the tyrant's rage And frustrate his proud will.	Lear: Read. Gloucester: What, with the case of eyes?
4	f	Gloucester: My son Edgar! Had he a hand to write this?	Edgar: Poor Tom 's acold. Gloucester: Go in with me.	Gloucester: Then Edgar was abus'd. Kind gods, forgive me that, and prosper him!	Gloucester: They kill us for their sport. Edgar: [aside] How should this be?	Edgar: Now fare ye well, good sir. Gloucester: With all my heart.	Gloucester: If Edgar live, O, bless him! Now, fellow, fare thee well. Edgar: Gone, sir, farewell.-	Edgar: What are you, sir? Gloucester: Away, and let me die.	Edgar: Well pray you, father. Gloucester: Now, good sir, what are you?	Gloucester: A man may rot even here. Edgar: What, in ill thoughts again?	Albany: Which is that adversary? Edgar: What's he that speaks for Edmund Earl of Gloucester?
