question_num	category	instance_id	answer	source	question_text	accuracy
1	f	0	"Before dividing the kingdom, Lear asks his daughters to ""How now? Where's that mongrel?"" (Passage 2) and requests to speak with a person identified as his daughter. Furthermore, Lear seeks information from the people surrounding the ""mongrel"" saying ""How now, my pretty knave? How dost thou?"" (Passage 4), implying that he wishes to learn about her well-being and presumably, her age or status as a child."	RAG	What does Lear ask his daughters to do before dividing the kingdom?	0
1	f	1	"Before dividing the kingdom, Lear requests that his daughters demonstrate their love for him by declaring the extent of their affection. To do so, he asks them to ""tell the true ingredient of mine honour, / Strange information"" (Passage 1). He seeks a display of their love, saying ""I would learn that"" (Passage 5). This is reiterated when he asks Goneril and Regan to ""give me my daughter"" (Passage 6), emphasizing the need for a demonstration of their loyalty and love."	RAG	What does Lear ask his daughters to do before dividing the kingdom?	0
1	f	2	"Before dividing the kingdom, Lear asks his daughters to express their love for him, specifically to declare how much they love him. This demand is evident in Passage 5: ""I would learn that; for, by the marks of sovereignty, Knowledge, and reason, I should be false persuaded I had daughters."" Lear also expects them to substantiate their claims of love with specific actions: he wants them to demonstrate their love by comparing their verbal declarations to their material presents, as hinted at in Passage 10: ""Come, come, I am a king; My masters, know you that?"" Additionally, Lear wants his daughters to express their love to him individually, not collectively. This is hinted at in Passage 1 and Passage 3, where Lear addresses each daughter separately and seeks private audiences with them."	RAG	What does Lear ask his daughters to do before dividing the kingdom?	0
1	f	3	"Before dividing the kingdom, Lear asks his daughters to express how much they love and cherish him by telling him how much they adore their father in a personal, rather than material, way. As he wants personal affection and loyalty rather than material riches, Lear asks his daughters to do this, as shown in Passage 5, ""I would learn that; for, by the marks of sovereignty, Knowledge, and reason, I should be false persuaded I had daughters"". This shows Lear's misunderstanding of what his daughters might say, as he believes true devotion to him should come from personal love rather than material inheritances; However, in Passage 3, we see Lear instruct his servants, ""Go you and tell my daughter I would speak with her."" This shows that, before asking his eldest daughter to speak, Lear seeks her presence. Furthermore, Passage 1, ""What dost thou profess? What wouldst thou with us?"", implies that Lear is asking his eldest daughter what she would do if she had the chance, indicating that he wants his eldest daughter to have the chance to express herself, and then make a statement about his youngest daughter, implying that he wants his youngest to also express some personal affection to their father."	RAG	What does Lear ask his daughters to do before dividing the kingdom?	0
1	f	4	"Before dividing the kingdom, Lear asks his daughters to declare their love for him and their recognition of him as their father. This is achieved through a series of tests where each daughter is called upon to speak their love for Lear. From Passage 3, Lear says, ""Go you and tell my daughter I would speak with her."", suggesting that he already has a relationship with his daughters. However, as the play progresses, Lear demands a more explicit display of their love for him, and so from Passage 5, he expresses a desire to engage with them in this way by asking ""I should be false persuaded I had daughters"", implying that he needs to see this for himself. Finally, Passage 7 shows Lear's expectation that his daughters should take care of him in his old age, as he says, ""Hast thou given all to thy two daughters, and art thou come to this?"", revealing that he is expecting them to show devotion to him as their father."	RAG	What does Lear ask his daughters to do before dividing the kingdom?	0
1	f	5	"Based on the passages provided, it appears that Lear requests his daughters to come forward and declare how much they love him, so that he may determine how much of his kingdom to give to each of them. This is supported by Passage 5, where Lear asks, ""I would learn that; for, by the marks of sovereignty, Knowledge, and reason, I should be false persuaded I had daughters."" and Passage 6, where Lear gives a general instruction to a servant to summon his daughters to speak with him. In Act 1, Scene 1 of the play, Lear actually asks his daughters to ""Love and bring no uncommontion"" (Passage 8 is not present in the final published version of the play; I apologize for the inclusion), indicating that he would like them to come forward with their expressions of love, and he will then divide his kingdom accordingly. However, in the final act I reference (there is no evidence that Lear divides the kingdom) and the actual scenario, Lear ultimately does not give much real estate to any child, dividing Goneril, Cordelia, and Regan between an additional character named a third daughter and an unnamed Duke."	RAG	What does Lear ask his daughters to do before dividing the kingdom?	0
1	f	6	"Lear does not explicitly ask his daughters to do something before dividing the kingdom with the passages provided, but rather requests to speak with them before making any decisions. As evident from Passage 3, ""Go you and tell my daughter I would speak with her,"" Lear intends to converse with Cordelia before dividing the kingdom. However, before this decision, Lear asks his daughter Goneril if she would ""show the huge and gouty King The top of oath"" in Passage 5 isn't present, but another part of the dialogue not present suggests he asks Goneril if her love for him surpasses ""Knowledge, and reason,"" but a more pertinent line that suggests the content of the question is actually Passage 4: ""How now, my pretty knave? How dost thou?"" In this instance, King Lear is seemingly asking his daughters how they perceive themselves, which he considers in relation to the act of division. From the given passages, the content of King Lear's question to his daughters that is most relevant is likely asking them of which is to be valued the most: their love and affection for him, or their loyalty and commitment to their role."	RAG	What does Lear ask his daughters to do before dividing the kingdom?	0
1	f	7	"Before dividing the kingdom, Lear asks his daughters to declare how much they love him, specifically that he might know their ""true"" affections. He plans to divide his kingdom among the one who exhibits the most devotion. Passages 5 and 9 suggest Lear intends to distribute the land among his children proportionally to their expressions of affection. Before dividing the kingdom, Lear instructs his daughter on how to greet him properly, showing respect and deference as befits a king's daughter: ""What, have his daughters brought him to this pass?"". This shows Lear's expectation of certain behavior from his daughters. This expectation is also reflected in ""How now, my pretty knave? How dost thou?"" (Passage 4), as well as ""How now? Where's that mongrel?""."	RAG	What does Lear ask his daughters to do before dividing the kingdom?	1
1	f	8	"Before dividing the kingdom, Lear asks his daughters to declare their love for him. As Lear prepares to divide his kingdom among his daughters, he asks, ""How now, my pretty knave? How dost thou?"" (Passage 4), revealing his desire for their affection and loyalty. Specifically, Lear wants to know ""What dost thou profess? What wouldst thou with us?"" (Passage 1), suggesting he wants to hear their confessions and promises of loyalty before making his decisions. Lear is also concerned with their marriage, asking ""If I had pluck'd thy hair for it, wouldst thou have giv'n it him? They'd have been sweeter than a spring odours of Arabia red"" (not available, however, Passage 3 implies he would speak with his daughter), but there are no relevant quotes for this question, hence my response focuses on the above."	RAG	What does Lear ask his daughters to do before dividing the kingdom?	0
1	f	9	"Before dividing the kingdom, Lear asks his daughters to give him news, specifically the ""marks of sovereignty"" (Passage 5). However, this request is a rhetorical one, as Lear knows his daughters are alive, and he seeks reassurance that they are indeed his rightful inheritors. This is evident in his query, ""I would learn that; for, by the marks of sovereignty, Knowledge, and reason, I should be false persuaded I had daughters"" (Passage 5). Lear's request is not about asking them to perform a task, but rather a demand for proof of their existence. He does not actually ask them to do something specific before dividing the kingdom; rather, he seeks validation of their status as his daughters. Overall, Lear's request is a test of their loyalty and identity."	RAG	What does Lear ask his daughters to do before dividing the kingdom?	0
